Source Name,Disabled,Processing Groups
SC-PI_Fact_for_downstream,False,2.3 Stage Tables - Fact
SC-Stage_Material_Grouping,False,2.48 Stage Tables - Dim
SC-Stage_Supplier_distinct,False,2.31 Stage Tables - Fact
EKBZ,False,1.1 Raw Tables - Fact
SC-Stage_PO_Bill_Types,False,2.0 Stage Tables - Dim
Value_type,False,1.0 Raw Tables - Dim
SC-PriceIndex_Fact_12m_SumCheck,True,2.7 Stage Tables - Fact
SC-PriceIndex_Fact_sum_12m,False,3.42 Stage Tables - Fact
SC-PriceIndex_Fact_sum_SumCheck,False,3.41 Stage Tables - Fact
EKBE,False,1.0 Raw Tables - Dim
SC-Stage_EKBE_PO_Hist,False,2.0 Stage Tables - Dim
