Source Name,Disabled,Processing Groups
ZZMM_MSEG,False,ST-ZZMM_MSEG;ICOGS;1.4.Invoices
VBUP-Orders Header,False,ST-VBUP Orders Header;1.5.Backlog
VBUP-Orders,False,1.5.Backlog;ST-VBUP-Orders
VBUP-Deliveries,False,1.5.Backlog;ST-VBUP-Deliveries
SC-Orders for Backlog,False,1.5.Backlog;SC-Orders for Backlog
SC-Orders for Backlog Condensed,False,1.5.Backlog;SC-Orders for Backlog Condensed
SC-ZZMM_MSEG Condensed,False,SC-ZZMM_MSEG Condensed;ICOGS;1.4.Invoices
Test,False,Test
Test Date,False,
VBEP,True,ST-VBEP
VBKD-For Backlog,False,1.5.Backlog;ST-VBKD-For Backlog
VBAK_VBAP_VBEP For Backlog,False,ST-VBAK_VBAP_VBEP For Backlog;Order Rebuild v0
SC-VBAK_VBAP_VBEP History,False,SC-VBAK_VBAP_VBEP History;Order Rebuild;Order Rebuild v1
tbl_vc_item,False,1.1.Files
SC-Orders SL VC Update,False,SC-Orders SL VC Update
SC-Item VC File,False,1.2.Dimensions;SC-Item VC File
SC-Orders SL Delete,False,SC-Orders SL Delete
SC-Test,False,SC-Test
SC-Delete Data,False,XX. SC-Delete Data
AUSP,False,1.1.Configuration
tbl_weee_country_mapping,False,1.1.Configuration;tble_weee_country_mapping
tbl_weee_item_cubo,False,1.1.Configuration
tbl_weee_item_polatis,False,1.1.Configuration
BKtel Company Keys,True,
BKtel German Sales,False,1.1.Transaction;BKtel
BKtel Subsidiary Sales,True,
SC-Orders BKtel,False,SC-Orders BKtel;1.3.Orders BKtel;BKtel
SC-Invoices BKtel,False,SC-Invoices BKtel;1.4.Invoices BKtel;BKtel
SC-BKtel Sales,False,SC-BKtel Sales;1.1.Transaction;BKtel
Test_RK,False,TEST_RK
SC-VBKD History,False,SC-VBKD History;Order Rebuild
EKKN,False,ST-EKKN;1.4.Invoices
SC-Invoices Stg,False,SC-Invoices Stg;1.4.Invoices
SC-ZZMM_MSEG PO Condensed,False,SC-ZZMM_MSEG PO Condensed;ICOGS;1.4.Invoices
SC-Item Repopulate,False,SC-Item Repopulate;1.2.Dimensions
BKtel-proAlpha_S_Adresse,False,
BKtel-proAlpha_S_Artikel,False,
BKtel-proAlpha_S_ArtikelSpr,False,
BKtel-proAlpha_S_Konzern,False,
BKtel-proAlpha_S_Kunde,False,
BKtel-proAlpha_S_Waehrung,False,
BKtel-proAlpha_V_BelegKopfAdr,False,ST-BKtel-proAlpha;ST-BKtel-proAlpha-V_BelegKopfAdr
BKtel-proAlpha_V_BelegKopf,False,
BKtel-proAlpha_V_BelegPos,False,
BKtel-proAlpha_V_AuftragsEingang,False,
SC-Item I4,False,1.2.Dimensions I4;SC-Item I4;BKtel I4
SC-Customer I4,False,1.2.Dimensions I4;SC-Customer I4;BKtel I4
SC-Customer Sales Area I4,False,1.2.Dimensions I4;SC-Customer Sales Area I4;BKtel I4
SC-Invoices I4,False,SC-Invoices I4;1.4.Invoices BKtel;BKtel I4
SC-Orders I4,False,SC-Orders I4;1.3.Orders BKtel;BKtel I4
BKtel-Files_BKtel_daily_statistics_xlsx BKtel Company Keys,True,
BKtel-Files_BKtel_daily_statistics_xlsx BKtel Subsidiary Sales,False,1.1.Transaction;BKtel
SC-Delivery Customer I4,False,1.2.Dimensions I4;SC-Delivery Customer I4;BKtel I4
BKtel-proAlpha_S_Staat,False,
SC-Customer SFDC,False,1.2.Dimensions SFDC;SC-Customer SFDC
SC-Customer Sales Area SFDC,False,1.2.Dimensions SFDC;SC-Customer Sales Area SFDC
SFDC_Account,False,
SC-HUB-885 Order Cancellation,False,SC-HUB-885 Order Cancellation
HUB-885 Order Cancellations,False,ST-HUB-885 Orders
SC-HUB-885 Order Cleanup,False,SC-HUB-885 Order Cleanup
SC-Backlog Warmup,False,1.1.Transaction;SC-Backlog Warmup
SC-Backlog Temp,True,1.5.Backlog;SC-Backlog Warmup;SC-Backlog Temp
SC-Orders SL Warmup,False,1.1.Transaction;SC-Orders SL Warmup;Order Rebuild v1
SC-Invoices Update,False,SC-Invoices Update
SC-Migration Orders Clean,True,SC-Migration Order Clean
SC-Migration Invoice Clean,True,SC-Migration Inv Clean
SC-Migration Dimension Clean,True,SC-Migration Dim Clean
Profit Center,False,
WBS Element,False,ST_WBS Element
ZFI_MOM_PC,False,
ZFI_MOM_DEFAULT,False,
ZFI_MOM_EXMATGRP,False,
ZFI_MOM_VC,False,
tbl_WBS_element_Profit_center,False,
